Questions,Answer1,Answer1Point,Answer2,Answer2Point,Answer3,Answer3Point,Answer4,Answer4Point
Name Something That Would Be Very Messy If You Put It In The Microwave Uncovered,Pasta,38,Soup,35,Chili,17,Eggs,8
Name A Reason Why A Woman Calls Her Husband While He’s Out.,Check On Him,34,Pick Something up,26,He’s Late,22,Emergency/Sick,7
Tell Me Something About Santa Clause That Would Give You The Creeps If You’d Never Heard Of Him.,Long Beard,52,Comes Down Chimney,28,Sitting On His Lap,9,Employs Elves,3
Why Might Someone Ride Their Bike To Work?,No Car,46,Exercise,23,Save Gas,20,Environment,7
Name Something You’d Need If You Wanted To Dress As A Vampire For Halloween.,Fangs,46,Cape,34,White Makeup,9,Fake Blood,4
Tell Me Something About Summer That You Look Forward To Most,Swimming/ Beach,39,Warm Weather,22,More Sun,20,Family Vacation,17
Name A Place Where School Children Often Go For Field Trips.,Zoo,47,Museum,40,Park,9,Farm,3
What Is The Most Fun Thing A Farmer Gets To Ride On?,Tractor,42,Horse,38,Bull,9,Farm Truck,4
"If You Were Stranded With Other People On An Island, Which Useful Occupations Would You Want Them To Have?",Doctor,45,Carpentry,23,Cook,19,Farmer,13
Name Something That Could Keep A Family Apart On Christmas,Weather,47,Distance,29,Work,17,Fighting,5
How Can You Tell That The Person In The Car Next To You Is Listening To Music?,Lips Moving,51,Head Bobbing,29,Hear It,11,Fingers Tapping,6
What Might A Restaurant Have Inside It That Would Cause It To Be Closed Down,Bugs,49,Rodents,36,Mold,6,Fire,5
Name a Hobby That Would Be Ironic For A Firefighter To Have.,Smoking,38,Camping/Campfire,27,Fireworks,15,Fire Eating,14
Name A Bad Job For Someone Who’s Afraid Of Heights,Window Washer,39,Pilot/Flight Attendant,37,Construction Worker,16,Firefighter,6
Name Something People Might Stock Up On Before A Huge Snowstorm,Non Perishable Food,49,Water,27,Batteries,7,Firewood,3
From What Activity Is A Man Most Likely To Be Late Getting Home From?,Work,39,Go To Bar,25,Golf,23,Fishing,5
Name Something People Put In The Envelope With Their Holiday Cards.,Money,61,Pictures,30,Gift Cards,4,Form Letter,3
"Name Something You Never Cook At Home, But Order When Eating At The Restaurant",Lobster,33,Steak,32,Fish,19,French Fries,8
Name A Specific Junk Food That You’d Never Want To Give Up,Chocolate/ Candy,24,Chips,24,Pizza,16,French Fries,10
"On A Road Trip, Name Something That Might Keep You Awake",Radio,51,Traffic,24,Engine,15,Friend Snoring,8
Name A Kind Of Tree That Would Look Silly To Have As A Christmas Tree.,Oak Tree,48,Palm Tree,32,Maple Tree,13,Fruit Tree,5
What Might You See In Front Of The Neighbors’ House That Lets You Know They’re Moving?,Moving Truck,40,For Sale Sign,28,Boxes,27,Furniture,3
Name A Place In The House Where Only A Real TV-Lover Would Put A Television,Bathroom,35,Bedroom,29,Kitchen,14,Garage,12
Name A Good Job To Have If You Want To Get A Nice Tan,Lifeguard,48,Tanning Salon,32,Construction,9,Gardener,8
Name A Word Or Phrase That Ends In – Phobia,Arachnophobia,37,Agoraphobia,23,Claustrophobia,22,Germophobia,12
What Might An Actor Do To Make You Not See Their Movies Anymore?,Die,33,Make A Flop,32,Retire,20,Get Arrested,8
Name Something A Mom Might Tell Her Kid To Shower After Doing,Playing Outside,52,Playing Sports,25,Swimming,18,Getting Out Of Bed,3
Name Something That Happens To People When They Get Embarrassed.,Blush,66,Cry,19,Sweat,7,Giggle,5
"Like A Colored Easter Egg, Which Holiday Object Is Fun To Have When It’s Fresh, But Not Fun To Find Months Later.",Jack O’Lantern,38,Fruitcake,27,Christmas Tree,17,Gingerbread House,4
Name A Common Gag Gift At An “Over The Hill” Birthday Party.,Cane,45,Diapers,31,Black Balloons,9,Glasses,4
Name A Famous Desert,Sahara,65,Mojave,17,Death Valley,9,Gobi,5
"Name A Quality That’s Important In A Friend, and Even More Important In A Spouse.",Trustworthiness,65,Sense Of Humor,20,Kindness,9,Good Communicator,4
"Without The Uniform, How Can You Tell That Someone Is In The Mlitary",Haircut,42,Confident Walk,24,Badge,18,Good Posture,14
Name A Special Occasion For Which Someone Might Go To A Hairdresser,Wedding,65,Prom,22,Birthday Party,4,Graduation,4
Name A Part Of The Body That Gets Mentioned A Lot In Romantic Songs,Lips,38,Heart,32,Eyes,26,Hair,3
Tell Me Something You Hate To Wear Too Short.,Skirt/Dress,57,Pants,19,Shorts,13,Hair,9
Name Something Most Parents Would Let Their Teen Experiment With,Driving,37,Make Up,25,Dating,21,Hairstyle,12
Name Something You Do To Get Rid Of A Song That’s Stuck In Your Head.,Sing/Hum It Through,45,Think Of Other Songs,36,Go To Sleep,10,Have A Conversation,6
Name Something An Elevator Operator Probably Gets Tired Of Saying,Which Floor?,43,Going Up?,36,Hello,14,Have A Nice Day,3
Name Something People Write About In Their Yearly Christmas Letter To Loved Ones.,Family,55,Greetings,33,Career,6,Health,5
What Do People Pay To Have Guessed At The Carnival?,Weight,70,Age,20,Future,6,Height,3
"Instead Of A Schoolbus, How Might A Wealthy Kid Get To School?",Limo,48,Their Own Car,42,Taxi,6,Helicopter,3
Name Something Naughty That Children Do While At The Store,Steal,49,Cry/Scream,27,Run Off,14,Hide,8
Name A Situation In Which Someone Might Get Crowned.,Prom,41,Coronation,29,Beauty Pageant,16,Homecoming,12
"Name A Word Grooms Say They’ll Do At The Alter, But Probably Never Say After The Wedding",Obey,39,Love,28,Cherish,15,Honor,11
"What Do Some People Look To For Relationship Guidance, That You Don’t Believe In?",Therapist,38,Psychic,23,Books,14,Horoscope,12
Name Something A Woman Might Stop Maintaining Once She’s In A Serious Relationship,Weight,41,Looks,33,Friendships,10,House,9
"Name A TV Show, Past Or Present, That Takes Place In A Hospital",ER,43,General Hospital,31,Grey’s Anatomy,14,House,6
Name Something People Pose In Front Of For Their Christmas Photos.,Tree,46,Fireplace,33,Santa Claus,17,House,3
What’s The First Thing You’re Likely To Be Asked About At Your High School Reunion?,What Do You Do?,51,Married?,21,Have Any Kids?,12,How Are You?,8
"In The Grocery Store, How Can You Identify A Penny-Pincher?",Bring Coupons,61,Carry A Calculator,22,Buy Generic Brands,11,How They Dress,3
"While At The Wedding, Name Away You Can Tell That The Marriage Won’t Last",Fights At Wedding,67,Bride/ Groom Flirting,15,Crying/ Sad Faces,9,How They Kiss,7
Name A Muscular Celebrity Who Would Probably Have Trouble Finding Clothes In His Size.,Arnold Schwarzenegger,43,The Rock,20,Vin Diesel,16,Hulk Hogan,12
Name A Way You Can Tell Someone Is A Doctor By Just Looking At Them.,Stethoscope,39,White Coat,28,Scrubs,19,ID Photo,9
Name Something A Doctor Better Not Be Afraid Of,Blood,43,Needles,32,people,15,Illness/ Germs,5
Name An Article Of Clothing That You’d Only Try On In Front Of Someone With Whom You’re Very Comfortable.,Bra,39,Underwear,27,Bathing Suit,12,Jeans,10
"Other Than Teeth, Name Something People Use A Toothbrush To Clean",Shoes,34,Toilet,29,Floor,14,Jewelry,9
Name Something That Comes In A Carton,Milk,64,Eggs,16,Cigarettes,7,Juice,4
"Name Something A Hollywood Stunt Person Gets Paid To Do, But Your Teen Would Get Punished For Doing.",Crashing The Car,43,Speeding,22,Fighting,17,Jumping Off Roof,15
Name Something A Divorced Person Might Do With Their Wedding Ring,Sell It,60,Throw It Away,20,Give It Back,11,Keep It,6
What Do Parents Instruct Their Children To Do While Riding In The Car?,Be Quiet,36,Buckle Up,34,Sit Down,14,Keep Still,13
"If There Was A School For Training Rock Stars, Who Might Be The Principal?",Ozzy Osbourne,49,Mick Jagger,26,Gene Simmons,14,Kid Rock,5
Name Something You Might Climb A Tree To Get,Cat,42,Fruit,24,Ball,21,Kite,11
Which Magic Trick Would Become Dangerous If The Magician Was A Phony?,Person Cut In Half,52,Sword Swallow,19,Disappearing Act,14,Knife Throwing,11
Name A Way To Tell If You Neighbors Are Home.,Lights On,53,Car In Driveway,30,Noice,8,Knock On Door,6
Name A Meal That Someone Who Loves Cheese Would Eat Often,Pizza,53,Mac And Cheese,25,Grilled Cheese,13,Lasagna,7
Name A Food That You Often Burn Your Tongue While Eating.,Soup,46,Pizza,33,Chili,14,Lasagna/Pasta,3
What Everyday Activity Burns The Most Calories?,Walking/ Running,67,Cleaning,15,Intercourse,8,Laughing,5
What Domestic Activity Would You Be Surprised To Find Mrs. Claus Couldn’t Do?,Cook,64,Sew,17,Clean,14,Laundry,3
Where In Your House Might You Find Something Labeled Poisonous?,Under Kitchen Sink,47,Garage,23,Medicine Cabinet,21,Laundry Room,7
Name Something You Look Forward To Getting In The Mail.,Paycheck,52,Package,18,Birthday Cards,15,Letters,13
Name Something From Your Ex That You Might Get Rid Of When Starting A New Relationship.,Pictures,46,Jewelry,32,Their Clothes,14,Letters,6
"Other Than Matches, Name Something People Use To Start A Fire.",Lighter,42,Sticks,28,Flint,14,Lighter Fluid,7
Name A Weather Condition That Might Cause You To Have Wacky Hair,Rain,66,Wind,17,Humidity,12,Lightning,3
What Do You See In The Mall That Lets You Know Christmas Is Coming?,Santa Claus,43,Decorations,30,Pine Tree,15,Lights,10
How Can You Tell That The Person Who Shares Your Room Is Having Trouble Sleeping?,Tossing And Turning,72,Talking,18,Watching TV,4,Lights On,4
Name A Game In Which Small Children Have An Advantage Over Adults,Hide And Seek,44,Tag,18,Twister,16,Limbo,10
Name A Phrase That’s Said In Commercials To Get You To Buy The Product Right Away.,Free Gift,38,Call Now,28,On Sale,20,Limited Time Offer,9
What Would Santa Hate To Forget On Christmas Eve?,Presents,52,Reindeer,26,Sleigh,18,List,3
Name A Crime That Most Cops Have Probably Committed Themselves.,Speeding,58,Stealing,34,Jaywalking,3,Littering,3
What Might A Poker Player Do To Make Bluffing Easier?,Wear Sunglasses,50,Kepp A Straight Face,41,Drink,6,Look Away,3
What Might Authorities Ask To See When You’re Crossing An International Border?,Passport,46,ID/License,38,Birth Certificate,6,Luggage,5
"If You Met The Real Life Prince Charming, How Would You Know It Was Him?",Wears A Crown,38,Rides White Horse,25,Good Looking,14,Magical Kiss,12
Name An Occupation In Which You’d Need To Wear Comfortable Shoes.,Doctor/Nurse,55,Food Service,28,Teacher,5,Mail Carrier,5
Name A Part Of Your Morning Ritual That It’s Hard To Get The Energy To Do.,Shower,54,Get Out Of Bed,21,Exercise,20,Make Breakfast,4
Name A Food That You Might Need Help Removing The Lid From,Pickles,44,Jelly,39,Peanut Butter,9,Mayonnaise,5
Name The Electronic Device That You Use Most In A Day,Cell Phone,55,Computer,24,TV,11,Microwave,3
Name Something In Your House That Has Numbers On It.,Phone,43,Clock,38,TV/Remote,5,Microwave,5
Name Something Many People Probably Lie About In Their Personal Ads,Age,45,Weight,27,Appearance,14,Money,4
Name A Type Of Candy That Sounds Like Something You’d Dig Up From The Ground,Gummy Worms,45,Rock Candy,28,Pop Rocks,16,Mounds,10
Name A Direction You’re Given When Having A Group Photo Taken.,Smile,55,Say Cheese,30,Move Left/Right,5,Move Closer,5
Name Something That Action Movie Stars Always Jump Off Of.,Buildings,51,Bridge,21,Cliff,11,Moving Cars,10
How Can You Tell That A TV Show Is Old Time?,Black And White,56,Clothes,23,Old Cars,13,Music,7
Name A Party Game That You’D Be Surprised To See At An Adult’S Birthday,Pin The Tailâ€¦,50,Twister,19,Spin The Bottle,12,Musical Chairs,8
Name A Fictional Character Who Makes Spy Work Look Like A Lot Of Fun.,Inspector Gadget,32,Sherlock Holmes,29,James Bond,25,Nancy Drew,5
What Ailment Might You Have The Morning After A Wild Party?,Hangover,39,Headache,27,Sore Dancing Legs,12,Nausea,8
Name A City That Is Best Known For Its Nightlife,New York,42,Las Vegas,37,Los Angeles,9,New Orleans,6
We Asked 100 Wives: What Does Your Husband See On TV That Guarantees He’ll Stop Flipping Channels?,Sports,51,Beautiful Women,37,Cars,6,News,3
Name Something Of Your That The Dog Likes To Play With.,Shoes,40,Socks,30,Ball,25,Newspaper,3
Name Something An Astronaut Has To Go Without When Traveling In Space,Decent Food,31,Family,26,Gravity,25,Normal Bathroom,13
Name Something You Hope A Restaurant Chef Didn’t Do Before Cooking Your Meal.,Got Sick,56,Drink,26,Smoke,3,Not Wash Hands,3
Name A Place Where You Often Find An Elevator.,Hotel,38,Mall,24,Hospital,16,Office Building,11
Name A Style Of Music That You’d Be Surprised To Hear That A Teenager Listened To.,Classical,43,Country,27,Jazz,19,Opera,9
Tell Me An Excuse For Not Going To Work That No One Really Believes,Sick,63,Car Trouble,12,Traffic,9,Overslept,6
What Diaper Bag Item Would A Parent Hate To Be Without?,Diapers,49,Wipes,33,Bottle,13,Pacifier,3
We Asked 100 Married Women: Name Something You Wish Your Husband Would Be More Helpful With Around The House,Dishes,42,Laundry,31,Cooking,14,Parenting,11
Name A Way That You Can Track Down An Old Friend,Internet,41,Phone Book,35,Friends,12,Parents,4
Name A Place Where A Teenager Wouldn’t Want To Be Seen With Their Parent.,Mall,41,School,28,Movie Theatre,11,Party,7
Name A Fruit That Can Get Bruised,Apple,45,Peach,25,Bananas,22,Pear,6
Name Something A School Wastebasket Is Probably Full Of.,Paper,60,Gum,27,Food Wrappers,4,Pencil Shavings,3
Name An Object Considered To Be Good Luck,Four Leaf Clover,38,Rabbit’s Foot,38,Horseshoe,14,Penny,9
Name The Worst Job For Someone With Allergies.,Gardener/Landscaper,45,Veterinarian,29,Florist,13,Pet Groomer,4
Name Something A Parent Might Limit Their Child’s Time Using,TV,44,Computer,26,Video Games,12,Phone,10
Name A Piece Of Information That’s On Every Menu,Prices,59,Names of Dishes,20,Name Of Business,11,Phone Number/ Address,9
"Where, Specifically, Would You Most Hate To Find Ants?",Kitchen,39,Bed,24,Pants,19,Picnic,17
